a,o,.,.,.,.,.
b,o,.,o,.,.,.
c,o,o,.,.,.,.
d,o,o,.,o,.,.
e,o,.,.,o,.,.
f,o,o,o,.,.,.
g,o,o,o,o,.,.
h,o,.,o,o,.,.
i,.,o,o,.,.,.
j,.,o,o,o,.,.
k,o,.,.,.,o,.
l,o,.,o,.,o,.
m,o,o,.,.,o,.
n,o,o,.,o,o,.
o,o,.,.,o,o,.
p,o,o,o,.,o,.
q,o,o,o,o,o,.
r,o,.,o,o,o,.
s,.,o,o,.,o,.
t,.,o,o,o,o,.
u,o,.,.,.,o,o
v,o,.,o,.,o,o
w,.,o,o,o,.,o
x,o,o,.,.,o,o
y,o,o,.,o,o,o
z,o,.,.,o,o,o
!,.,.,o,o,o,.
',.,.,.,.,o,.
",",.,.,o,.,.,.
-,.,.,.,.,o,o
.,.,.,o,o,.,o
?,.,.,o,.,o,o
Cap,.,.,.,.,.,o
#,.,o,.,o,o,o
0,.,o,o,o,.,.
1,o,.,.,.,.,.
2,o,.,o,.,.,.
3,o,o,.,.,.,.
4,o,o,.,o,.,.
5,o,.,.,o,.,.
6,o,o,o,.,.,.
7,o,o,o,o,.,.
8,o,.,o,o,.,.
9,.,o,o,.,.,.
